                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4672,                 5.4799,                 3.8924,                0.27209,                  0.141,                0.03582,                  0.012,                  2.208,                 4.0253,                  3.233,             0.00011481,             0.00011481,             0.00011481
                      2,                 1.9103,                   4.21,                   2.92,                 0.3104,                0.33406,                0.28261,                0.14777,                  1.584,                 2.6176,                 2.5148,             0.00020706,             0.00020706,             0.00020706
                      3,                 1.5322,                 2.8874,                 2.3856,                 0.5649,                0.53824,                0.56798,                0.34184,                 1.3452,                 1.9881,                 2.1971,             0.00027654,             0.00027654,             0.00027654
                      4,                 1.2582,                  2.032,                 2.0239,                0.72374,                0.77008,                0.82988,                0.58762,                 1.0282,                 1.3059,                 1.6971,             0.00024253,             0.00024253,             0.00024253
                      5,                 1.0649,                 1.4728,                 1.7612,                0.86677,                 0.8747,                0.93433,                0.70531,                0.91033,                0.97376,                 1.5519,             0.00020838,             0.00020838,             0.00020838
                      6,                0.94207,                 1.1821,                 1.6014,                0.92243,                0.91823,                0.96637,                0.75715,                0.81482,                0.82156,                 1.4014,             0.00017422,             0.00017422,             0.00017422
                      7,                 0.8575,                0.98058,                 1.4925,                0.94741,                0.94743,                0.97745,                0.79764,                0.72995,                0.71985,                 1.3102,             0.00014007,             0.00014007,             0.00014007
                      8,                0.79133,                0.84905,                  1.412,                0.96689,                0.96665,                0.98571,                0.80985,                 0.7125,                0.63243,                 1.2869,             0.00010592,             0.00010592,             0.00010592
                      9,                0.74618,                0.76388,                 1.3552,                0.98036,                0.96886,                0.98747,                0.82739,                0.67326,                0.57349,                 1.2405,              7.176e-05,              7.176e-05,              7.176e-05
                     10,                0.70376,                 0.7064,                 1.3151,                0.98438,                0.97978,                0.98927,                0.83759,                0.64829,                0.53123,                 1.2047,             3.7605e-05,             3.7605e-05,             3.7605e-05
